# KIC neighbours within 25 arcsec of a DR25 object of interest with r - J < -0.5 (Section 2.6)
# 135 rows
#
# koi          [-]  DR25 object of interest
# disposition  [-]  DR25 disposition of that object
# kic          [-]  KIC identifier of the neighbour
# ra           [deg]  KIC right ascension, J2000
# dec          [deg]  KIC declination, J2000
# sep_as       [arcsec]  separation from the object of interest
# kepmag       [mag]  KIC Kepler magnitude
# rmag         [mag]  KIC r magnitude
# jmag         [mag]  KIC J magnitude
# r_minus_J    [mag]  KIC r minus KIC J
# gaia_G       [mag]  Gaia DR3 G of the best match within 2 arcsec; blank if none
# G_minus_r    [mag]  Gaia G minus KIC r; blank if no match
koi,disposition,kic,ra,dec,sep_as,kepmag,rmag,jmag,r_minus_J,gaia_G,G_minus_r
K04280.01,FALSE POSITIVE,5026293,295.66409,40.177757,23.400665,15.93,15.93,16.459,-0.5289999999999999,17.705256,1.7752559999999988
K05700.01,FALSE POSITIVE,9602607,297.14645,46.226082,11.341009,15.46,15.366,15.889,-0.5229999999999997,17.151674,1.7856740000000002
K04676.02,FALSE POSITIVE,4953134,298.73639,40.073967,20.269882,15.296,15.251,15.771,-0.5200000000000014,17.266962,2.015962
K01930.01,CONFIRMED,5511084,282.97971,40.789967,20.317782,13.953,13.925,14.442,-0.5169999999999995,18.878761,4.953761
K01930.02,CONFIRMED,5511084,282.97971,40.789967,20.317782,13.953,13.925,14.442,-0.5169999999999995,18.878761,4.953761
K01930.03,CONFIRMED,5511084,282.97971,40.789967,20.317782,13.953,13.925,14.442,-0.5169999999999995,18.878761,4.953761
K01930.04,CONFIRMED,5511084,282.97971,40.789967,20.317782,13.953,13.925,14.442,-0.5169999999999995,18.878761,4.953761
K01966.01,FALSE POSITIVE,9973851,299.77805,46.892075,7.092634,15.487,15.486,15.997,-0.5109999999999992,17.609432,2.123432000000001
K04221.01,FALSE POSITIVE,6364078,291.83237,41.710304,14.772382,14.923,14.884,15.393,-0.5090000000000003,19.541292,4.657291999999998
K03560.01,FALSE POSITIVE,4848410,295.21512,39.911606,8.591065,16.27,16.27,16.773,-0.5030000000000001,18.048813,1.7788129999999995
