kepid,offset_as,sigma_as,east_as,north_as,east_err_as,north_err_as,n_panels,n_skipped,median_panel_snr,median_panel_quality,dr25_offset_as,dr25_offset_err_as
7219825,0.2964853477803744,0.17820936222591088,0.27172449852777475,0.11861432606679045,0.18732119590768592,0.11949782448127742,21,0,31.57751339294471,0.9791867069754053,0.29843,0.146
7281468,0.9423898781356561,0.829383656736585,0.38868530300574555,-0.8585000976353285,0.7743694094626035,0.8402158378116902,7,10,7.749100784272347,0.6485600106716244,0.34935,0.78
7211469,0.6846609528390043,0.316980602713409,0.6810176265088475,0.07053802326879577,0.31803675339321674,0.1948385995495432,15,2,9.495480918203514,0.9132617059426603,0.40972,0.423
7200463,1.4150969722163615,0.824835415273666,-1.1572454997017751,-0.814421447529412,0.9295532622107219,0.5562529542487585,3,14,7.8791651024434355,0.7664530850824699,1.955,0.754
7105574,0.10919584265510977,0.01092675099561394,-0.07713958429929532,-0.07728658736994021,0.010686711578433941,0.011160746079317455,34,0,3675.4616897021574,0.9998377643598387,0.061654,0.0673
7199883,1.5983972915922697,0.8207701698859627,-0.6628376423608422,1.4544827814859218,0.8551852820796458,0.8134402225986621,9,8,16.389643118063468,0.6439244684183194,1.4903,0.699
7281864,1.6709633365175223,0.9874819219177458,0.019911361342157652,-1.670844699448537,0.7017671845994079,0.9875166266977945,10,7,6.7924013576430795,0.6013381123574818,0.55822,0.438
7115332,2.9134265755999564,1.6546956315130508,-0.5367824903385666,2.863550064077458,0.7404440973894383,1.677785210383447,5,4,13.715111793538153,0.636837481344496,4.7893,0.679
7177766,0.35475038137582343,0.7516453801456467,0.07002449600124191,0.34777061843414003,0.4609058157143431,0.7610936959823321,16,1,33.91644931523475,0.8054556655362517,1.2295,0.761
7918652,0.4805658200083947,0.4981909873160106,-0.3995699800220591,0.2669968884191576,0.5611545105542408,0.3143432545429468,14,3,23.496491667174073,0.8068137765269046,0.85278,0.364
7837302,0.10968730082232295,0.009629524535770496,0.024851990471655726,0.10683483762932156,0.012409493312287157,0.009455812911992103,17,0,2052.223830032507,0.9996337136518082,0.09002,0.0675
7951018,0.10586528760037721,0.03809166234186536,0.0008586870758268433,-0.10586180508198595,0.03527162613614926,0.038091841016867856,17,0,83.98999153899815,0.9989869365298703,0.056249,0.0747
7832829,0.9594868489525463,1.07913483098589,0.958199755266991,0.04968140818419897,1.0794939032946516,0.9360586159654528,4,12,35.7828835095777,0.7855155746599068,0.65892,1.22
7877496,0.10695763478256014,0.036833027802034686,0.10097545630724686,0.035268865332227506,0.038354520076649294,0.020468781315557866,29,5,663.8200885564763,0.9992179071240517,0.045246,0.0677
7777471,3.8493768173932774,1.5382573544444802,2.53244438453373,2.899039034150519,1.7529888440550656,1.3516430462108018,11,6,7.825886422014973,0.594455341046859,2.8295,0.943
7601917,1.0340127313292644,0.3446000514701176,0.05265805997250327,1.0326710305179176,0.21445345066781676,0.34487444490573693,18,5,294.7090312392371,0.9600493735730181,0.41162,0.251
7605093,0.43234049093039784,0.23545338974892066,-0.00021173122419228425,-0.43234043908455533,0.06359264626616865,0.23545341592459434,8,0,8.455522301375314,0.9151157558971861,0.26186,0.278
7668648,0.08760840049509412,0.01092193374051623,-0.07777700882538674,0.040323302636124936,0.011728076894305097,0.007166393092375818,17,0,3429.4285301504838,0.9998937562727883,0.15643,0.0671
7749552,0.38003803816730397,0.1587739985946551,-0.35650838873571666,0.13164603759747706,0.15400691785483311,0.19011609487361575,32,2,216.7346380234934,0.9836497677992289,0.20576,0.135
7691260,0.33579805142295777,0.1837590561459722,0.32171303323748013,0.09623437839252347,0.18289053654893894,0.19319995870525075,16,0,10.136161277305535,0.9380123016647826,0.17327,0.322
8265156,1.2058656202420772,0.5979989774041988,-0.9585037356135866,-0.731698355127719,0.7230229349654288,0.2723696677298513,33,1,36.714252579358636,0.8891510919176866,0.6669,0.543
8265218,0.29255371938478275,0.08337683723513392,0.19025500919037885,-0.22224020834187286,0.07723471161195426,0.08760519683470964,17,0,26.312911395108788,0.9715149234598236,0.12525,0.0977
8222627,0.626693292734383,0.23057432585165447,-0.1647055233103883,-0.6046623634304638,0.20566928254507316,0.23231584746608389,16,1,9.274367186084335,0.8734600484217854,0.3486,0.269
8265876,1.3395384669447243,0.2864540031295361,-1.3218313007474136,-0.21708366310946303,0.28857122377853806,0.19213800707511877,22,12,62.04929771311843,0.7603948657363662,0.14175,0.608
8189801,0.08477813092965111,0.16142461340344758,-0.017743950440306248,-0.08290044455065981,0.15616976475704739,0.16166126092482086,15,2,6.870755628381723,0.7200333692281079,0.073485,0.308
8240904,0.15620968761173515,0.12214996243284966,0.004296332624437241,0.1561505940742336,0.0941243033421312,0.1221687431631168,25,0,9.6002092042242,0.9045398722234421,0.24834,0.158
8280511,0.11847069841890497,0.1632280384016615,0.051204745323638806,-0.10683342379707028,0.17971356087297113,0.15919997550306256,75,9,14.31591855938719,0.8543937959571097,0.35636,0.249
8210018,0.540205472538664,0.2251248315105174,-0.4509841084652735,0.29738070965095176,0.25506037335293896,0.13274771412104905,11,0,11.313105741851876,0.9244357190168225,0.2904,0.183
8164262,0.3838450407673443,0.2381227649401154,0.31318013959631463,-0.22193516054045404,0.23467938538642508,0.24483536940668885,50,15,48.65196302671227,0.8817025890825454,0.1294,0.124
8082001,0.4634827530676184,0.10751710366504218,-0.02356560010345654,0.46288327349657266,0.20662198565686613,0.10714119409691272,13,1,17.622332555195726,0.9727082627174586,0.21733,0.101
8013439,3.669293441295348,0.4368190180415397,3.032487437112177,2.0658495352009254,0.43534479446115726,0.43997883978840036,50,0,104.0791801161421,0.6833224338837218,2.4595,0.866
8539939,0.13592799531397498,0.21458864270388658,-0.09510766680215328,-0.09711308678816977,0.26062784611749557,0.15831603993670368,38,12,43.36773700574495,0.929888190290135,0.67899,0.907
8591693,0.9730963974594227,0.24670167996526532,0.5937602329221362,0.770950961182848,0.34141130647146134,0.16680218677406947,15,2,8.190333893989067,0.8872043515803464,0.39524,0.657
8494783,0.45076137759211893,0.24910489962580346,0.17464509193382882,0.4155537406788312,0.24892077815342892,0.24913740640577037,28,23,358.4635678885993,0.8885630739898516,0.44332,0.306
8495232,5.68790109093057,0.3987505619940224,1.3426425407830418,5.5271629094761465,0.1792651600998071,0.40802967189574857,16,1,28.149379733670173,0.7062183225525142,6.419,0.545
8631504,0.16081707178012397,0.31844144217839443,0.09357458194178836,-0.13078963334436366,0.3319243814064508,0.3113139036778881,16,1,11.796321298029998,0.9205068753381282,0.85969,0.463
8554701,0.5325315088505868,0.13741412299928685,0.048873927934864135,0.5302840249214569,0.24111061352291696,0.13619551413051928,15,2,12.206668757647448,0.9044694069088078,0.50332,0.228
8414216,0.9069909259424644,0.2276179937220682,-0.9035552123216006,-0.07887026073518655,0.22314029853127,0.562769420913786,14,3,14.307766091632429,0.8130624542587022,0.88789,0.301
8424446,1.8392264470644242,0.6367660331104773,1.3844706206042428,1.2107828146554311,0.5272303382800055,0.7564215407917575,35,16,604.8895148887176,0.7659111278811896,1.8685,0.458
8359498,0.12547774848047852,0.008718908429310154,0.04712617790400527,0.11629182567958196,0.0051671739459766336,0.009171621551050122,17,0,1105.1448447673058,0.9998501942726796,0.15266,0.0676
8445775,0.11369455378368888,0.02344177109329925,-0.0755880945922768,-0.08492874375605197,0.03149507575719587,0.014108834701677349,34,0,1220.491286882932,0.996953165819709,0.097096,0.0689
8458662,0.5831188626267018,0.5318007629708681,-0.581323221687758,0.045726577366167476,0.5333307985887297,0.13935548190099403,29,5,92.18924022693717,0.8113857071722227,0.21708,0.199
8367410,0.06895628088744112,0.5734759006980773,0.06869203415363122,-0.006031012988216844,0.5736957827814448,0.5441983153053201,8,9,8.500201787176444,0.7888395327609312,1.0733,0.43
8429528,0.5218652405955596,0.18663665259400317,-0.3137775876010567,0.41699754778790066,0.08796608497368757,0.2239973061210274,38,8,97.51271345652201,0.9786611179591592,0.2492,0.308
9011825,0.19984617371545563,0.5651545451137667,-0.1970119069728493,-0.0335380628484927,0.5712536438728102,0.2832461533896611,14,1,20.406477241090336,0.8797757287703702,0.38719,0.346
8978630,1.1120751762211185,0.9408762244761797,1.0987336942195474,-0.17174244307653908,0.9487579678540092,0.5250424440475809,8,6,91.46502480729097,0.8685024643235022,0.448,0.583
9031703,1.1001998102640964,0.41180763222725164,-1.0946765052774636,-0.11010436548417601,0.4106929457286564,0.5101090529721675,15,2,10.094811744458946,0.7550130204207669,0.12409,0.726
