Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
1,9.87,-0.31,0.24744,-1.99,3.569,5.044,10.8,0.038,0.0,20.544,20.074,18.809,18.248,18.053,0.247
1,9.87,-0.19,0.25873,-1.974,3.564,5.029,9.7,0.038,0.0,19.405,18.959,17.653,17.091,16.888,0.259
1,9.87,-0.07,0.15399,-2.541,3.505,5.133,7.4,0.034,0.0,18.523,18.256,16.629,16.098,15.852,0.154
1,9.87,-0.07,0.42423,-1.539,3.586,4.894,8.0,0.036,0.0,16.618,16.135,14.901,14.305,14.145,0.424
1,9.87,0.01,0.31532,-1.824,3.563,4.96,11.2,0.038,0.0,20.53,20.103,18.757,18.193,17.991,0.315
1,9.89,-0.61,0.28085,-1.794,3.601,5.028,9.6,0.038,0.0,18.854,18.307,17.22,16.637,16.481,0.281
1,9.89,-0.53,0.36569,-1.592,3.606,4.965,9.6,0.038,0.0,18.35,17.805,16.732,16.133,15.986,0.366
1,9.89,-0.47,0.1309,-2.692,3.503,5.207,8.8,0.037,0.0,20.3,20.025,18.435,17.866,17.627,0.131
1,9.89,-0.39,0.29245,-1.834,3.583,5.016,9.0,0.038,0.0,18.355,17.847,16.659,16.089,15.913,0.292
1,9.89,-0.31,0.38592,-1.596,3.592,4.936,10.7,0.038,0.0,19.461,18.946,17.788,17.192,17.035,0.386
1,9.89,-0.25,0.17505,-2.364,3.532,5.12,9.8,0.038,0.0,20.481,20.124,18.668,18.117,17.882,0.175
1,9.89,-0.25,0.30063,-1.836,3.576,5.002,11.5,0.038,0.0,20.861,20.376,19.132,18.567,18.384,0.301
1,9.89,-0.21,0.32113,-1.791,3.577,4.989,9.8,0.038,0.0,19.048,18.565,17.318,16.75,16.57,0.321
1,9.89,-0.19,0.81435,-0.378,3.722,4.56,10.5,0.038,0.0,16.214,15.629,14.943,14.522,14.464,0.814
1,9.89,-0.19,0.19044,-2.261,3.543,5.096,10.7,0.038,0.0,21.122,20.738,19.331,18.778,18.546,0.19
1,9.89,-0.17,0.97368,0.116,3.773,4.348,11.8,0.038,0.0,16.281,15.754,15.228,14.932,14.894,0.974
1,9.89,-0.09,0.67068,-0.867,3.651,4.681,11.1,0.038,0.0,18.038,17.488,16.533,15.897,15.802,0.671
1,9.89,-0.03,0.75289,-0.638,3.679,4.615,11.1,0.038,0.0,17.464,16.881,16.039,15.49,15.41,0.753
1,9.89,0.05,0.23905,-2.074,3.547,5.022,11.3,0.038,0.0,21.254,20.872,19.455,18.903,18.673,0.239
1,9.91,-0.81,0.17555,-2.266,3.563,5.148,10.3,0.038,0.0,20.735,20.264,19.02,18.456,18.251,0.176
1,9.91,-0.57,0.10599,-2.93,3.483,5.272,8.9,0.037,0.0,20.994,20.782,19.077,18.502,18.279,0.106
1,9.91,-0.55,0.28057,-1.814,3.595,5.027,11.4,0.038,0.0,20.706,20.169,19.055,18.476,18.314,0.281
1,9.91,-0.47,0.08812,-3.355,3.417,5.354,7.2,0.034,0.0,20.356,20.487,18.244,17.692,17.423,0.088
1,9.91,-0.37,0.26871,-1.911,3.577,5.032,11.2,0.038,0.0,20.747,20.251,19.032,18.469,18.286,0.269
1,9.91,-0.35,0.93217,0.122,3.78,4.351,9.7,0.038,0.0,14.164,13.665,13.155,12.87,12.834,0.932
1,9.91,-0.35,0.5409,-1.169,3.628,4.797,9.8,0.038,0.0,17.492,16.958,15.933,15.28,15.162,0.541
1,9.91,-0.35,0.20509,-2.144,3.562,5.088,9.9,0.038,0.0,20.03,19.58,18.287,17.728,17.519,0.205
1,9.91,-0.27,0.11526,-2.856,3.482,5.228,9.2,0.038,0.0,21.109,20.918,19.171,18.619,18.374,0.115
1,9.91,-0.25,0.18531,-2.288,3.542,5.106,9.7,0.038,0.0,20.191,19.808,18.402,17.847,17.615,0.185
2,10.03,-0.73,0.94207,0.037,4.596,7.499,11.2,0.038,0.0,15.878,19.765,20.185,20.337,20.431,0.584
2,10.03,-0.69,0.41466,-1.424,3.626,4.928,11.5,0.038,0.0,19.831,19.283,18.273,17.656,17.523,0.415
2,10.03,-0.67,0.5662,-0.991,3.657,4.757,10.7,0.038,0.0,17.946,17.391,16.475,15.876,15.777,0.566
2,10.03,-0.63,0.34722,-1.598,3.613,4.975,11.3,0.038,0.0,20.064,19.516,18.468,17.867,17.723,0.347
2,10.05,-0.95,0.26093,-1.822,3.608,5.055,10.2,0.038,0.0,19.526,18.973,17.923,17.346,17.188,0.261
2,10.05,-0.93,0.57543,-0.915,3.673,4.753,12.7,0.038,0.0,19.757,19.193,18.338,17.789,17.696,0.575
2,10.05,-0.91,0.11173,-2.806,3.508,5.27,8.0,0.036,0.0,19.786,19.475,17.945,17.363,17.16,0.112
2,10.05,-0.89,0.56536,-0.957,3.668,4.763,12.0,0.038,0.0,19.162,18.601,17.725,17.16,17.064,0.565
2,10.05,-0.87,0.45612,-1.304,3.637,4.894,9.4,0.038,0.0,17.431,16.878,15.906,15.303,15.178,0.456
2,10.05,-0.85,0.51338,-1.136,3.649,4.827,12.0,0.038,0.0,19.609,19.055,18.118,17.515,17.405,0.513
2,10.05,-0.83,0.89196,0.7,3.716,3.497,10.7,0.038,0.0,13.719,13.165,12.45,12.004,11.943,0.892
2,10.05,-0.81,0.26685,-1.813,3.606,5.049,11.5,0.038,0.0,20.803,20.252,19.192,18.61,18.454,0.267
2,10.05,-0.81,0.29116,-1.738,3.611,5.031,12.2,0.038,0.0,21.316,20.764,19.718,19.132,18.98,0.291
2,10.05,-0.81,0.2917,-1.737,3.611,5.031,12.4,0.038,0.0,21.512,20.96,19.914,19.328,19.176,0.292
2,10.05,-0.79,0.60937,-0.816,3.681,4.708,10.0,0.038,0.0,16.81,16.243,15.412,14.876,14.791,0.609
2,10.05,-0.79,0.18353,-2.188,3.573,5.129,10.3,0.038,0.0,20.541,20.038,18.839,18.28,18.089,0.184
2,10.05,-0.79,0.2968,-1.722,3.612,5.026,12.3,0.038,0.0,21.376,20.824,19.779,19.191,19.041,0.297
2,10.05,-0.77,0.43612,-1.365,3.631,4.912,11.0,0.038,0.0,19.182,18.631,17.639,17.028,16.899,0.436
2,10.05,-0.77,0.35641,-1.57,3.62,4.987,12.8,0.038,0.0,21.495,20.943,19.923,19.324,19.182,0.356
2,10.05,-0.75,0.7522,-0.27,3.753,4.544,10.8,0.038,0.0,16.245,15.722,15.13,14.781,14.734,0.752
2,10.05,-0.75,0.19462,-2.108,3.584,5.117,11.4,0.038,0.0,21.44,20.918,19.764,19.199,19.021,0.195
2,10.05,-0.75,0.28936,-1.748,3.61,5.032,12.2,0.038,0.0,21.339,20.788,19.735,19.147,18.996,0.289
2,10.05,-0.75,0.7847,-0.131,3.768,4.482,12.6,0.038,0.0,17.697,17.202,16.651,16.332,16.291,0.785
2,10.05,-0.73,0.21978,-1.99,3.594,5.092,10.5,0.038,0.0,20.246,19.707,18.597,18.023,17.857,0.22
2,10.05,-0.71,0.2081,-2.038,3.591,5.103,11.0,0.038,0.0,20.865,20.332,19.207,18.635,18.465,0.208
2,10.05,-0.71,0.88849,0.456,3.773,3.967,11.5,0.038,0.0,15.13,14.642,14.104,13.797,13.758,0.888
2,10.05,-0.69,0.49368,-1.214,3.639,4.849,11.0,0.038,0.0,18.805,18.256,17.284,16.667,16.55,0.494
2,10.05,-0.69,0.44293,-1.354,3.63,4.904,11.1,0.038,0.0,19.256,18.708,17.71,17.092,16.964,0.443
2,10.05,-0.69,0.47312,-1.272,3.635,4.873,12.6,0.038,0.0,20.55,20.001,19.018,18.401,18.28,0.473
2,10.05,-0.67,0.50481,-1.184,3.641,4.835,10.1,0.038,0.0,17.831,17.282,16.314,15.695,15.581,0.505
2,10.05,-0.67,0.45671,-1.321,3.631,4.89,11.7,0.038,0.0,19.773,19.225,18.23,17.611,17.485,0.457
2,10.05,-0.67,0.32105,-1.65,3.613,4.993,12.5,0.038,0.0,21.396,20.846,19.801,19.204,19.058,0.321
2,10.05,-0.65,0.21258,-2.027,3.589,5.094,11.3,0.038,0.0,21.137,20.609,19.472,18.902,18.73,0.213
2,10.05,-0.65,0.44336,-1.361,3.628,4.902,12.0,0.038,0.0,20.173,19.627,18.62,17.998,17.869,0.443
2,10.05,-0.63,0.43049,-1.398,3.624,4.912,11.2,0.038,0.0,19.465,18.919,17.901,17.279,17.147,0.43
2,10.05,-0.63,0.4247,-1.412,3.623,4.917,11.4,0.038,0.0,19.7,19.154,18.134,17.514,17.38,0.425
2,10.05,-0.61,0.33923,-1.625,3.61,4.981,12.0,0.038,0.0,20.832,20.284,19.227,18.629,18.483,0.339
2,10.05,-0.59,0.10534,-2.937,3.483,5.276,7.3,0.034,0.0,19.412,19.197,17.494,16.919,16.7,0.105
2,10.05,-0.59,0.18018,-2.244,3.56,5.124,10.9,0.038,0.0,21.279,20.824,19.55,18.989,18.777,0.18
2,10.05,-0.57,0.67911,-0.623,3.701,4.641,9.6,0.038,0.0,15.927,15.351,14.59,14.107,14.037,0.679
2,10.05,-0.57,0.23646,-1.953,3.588,5.062,10.7,0.038,0.0,20.353,19.827,18.682,18.111,17.94,0.236
2,10.05,-0.57,0.24767,-1.908,3.591,5.048,11.2,0.038,0.0,20.739,20.209,19.077,18.503,18.335,0.248
2,10.05,-0.57,0.71684,-0.484,3.72,4.602,12.5,0.038,0.0,18.481,17.911,17.216,16.785,16.724,0.717
2,10.05,-0.55,0.66221,-0.692,3.69,4.658,12.6,0.038,0.0,19.101,18.528,17.728,17.213,17.137,0.662
2,10.05,-0.51,0.22998,-1.997,3.581,5.067,11.2,0.038,0.0,20.962,20.449,19.27,18.707,18.527,0.23
2,10.05,-0.51,0.96317,1.727,3.693,2.414,12.1,0.038,0.0,12.553,11.976,11.185,10.683,10.612,0.963
2,10.05,-0.49,0.47173,-1.324,3.621,4.866,11.3,0.038,0.0,19.379,18.839,17.805,17.171,17.041,0.472
2,10.05,-0.49,0.85366,0.013,3.773,4.393,11.7,0.038,0.0,16.438,15.934,15.401,15.096,15.059,0.854
2,10.05,-0.45,0.33242,-1.699,3.595,4.985,12.4,0.038,0.0,21.418,20.885,19.762,19.176,19.018,0.332
