# NASA Exoplanet Archive cumulative KOI table, downloaded 2026-08-22 15:44 UTC+1.
# Columns used by fpp/own_fpp.py, in the archive's row order: kepoi_name [-],
# koi_disposition [-], koi_period [d], koi_prad [R_earth].
kepoi_name,koi_disposition,koi_period,koi_prad
K01107.01,FALSE POSITIVE,0.73094589,17.12
K01108.01,CONFIRMED,18.92537246,13.92
K01172.01,FALSE POSITIVE,0.933749106,3.22
K01173.01,FALSE POSITIVE,2.037440623,1.19
K01174.01,CANDIDATE,129995.7784,2.99
K01175.01,CONFIRMED,31.5925809,1.78
K01175.02,CONFIRMED,17.157236,1.55
K01176.01,CONFIRMED,1.97376085,8.78
K00972.01,CONFIRMED,13.118962443,8.25
K00133.01,FALSE POSITIVE,4.618767792,7.48
K00972.02,CANDIDATE,7.82187328,2.78
K00974.01,CANDIDATE,53.5057611,2.52
K00975.01,CONFIRMED,2.785821236,1.69
K00976.01,FALSE POSITIVE,52.56901867,78.54
K01048.01,FALSE POSITIVE,3.411758679,14.71
K01049.01,FALSE POSITIVE,0.525426427,1.45
K01050.01,CONFIRMED,1.269091415,1.41
K01050.02,CONFIRMED,2.853133997,1.36
K01051.01,CONFIRMED,6.79685353,2.01
K00146.01,FALSE POSITIVE,8.667822346,67.37
K01108.02,CONFIRMED,1.475323222,5.88
K01108.03,CONFIRMED,4.15246118,7.62
K01109.01,FALSE POSITIVE,6.7210783,
K01110.01,CONFIRMED,8.7348852,1.59
K01111.01,FALSE POSITIVE,10.26547688,1.81
K00151.01,CANDIDATE,13.4471791,5.24
K01177.01,FALSE POSITIVE,3.305577989,25.89
K01178.01,FALSE POSITIVE,4.800653901,16.91
K01179.01,FALSE POSITIVE,15.06649901,56.44
K01180.01,FALSE POSITIVE,34.82008158,11.36
K01181.01,FALSE POSITIVE,0.651784374,33.65
K00977.01,FALSE POSITIVE,1.353771892,430.99
K00978.01,FALSE POSITIVE,18.95491633,71.39
K00979.01,FALSE POSITIVE,4.348866254,2436.69
K00980.01,FALSE POSITIVE,47.93094546,68.02
K00981.01,FALSE POSITIVE,3.99751422,2.98
K00982.01,FALSE POSITIVE,1.592633181,1.56
K00134.01,CONFIRMED,67.5923754,12.1
K01052.01,CONFIRMED,17.02902786,2.54
K01052.02,CONFIRMED,6.84619236,1.67
K01052.03,CONFIRMED,67.8321638,2.39
K01052.04,CONFIRMED,43.1312147,2.39
K01053.01,CONFIRMED,1.224866441,1.54
K01112.01,CONFIRMED,37.8102649,2.33
K01113.01,CONFIRMED,25.93406406,2.48
K01113.02,CONFIRMED,83.4463485,2.73
K01114.01,FALSE POSITIVE,7.04710032,25.2
K01115.01,CONFIRMED,12.99204853,2.03
K01182.01,FALSE POSITIVE,11.11620211,8.96
K01183.01,FALSE POSITIVE,1.922861499,5.09
K01184.01,FALSE POSITIVE,0.635445336,19.0
K01185.01,FALSE POSITIVE,1.665784138,97.27
K01186.01,FALSE POSITIVE,55.6639167,34.14
K00152.01,CONFIRMED,52.09081627,7.14
K00983.01,FALSE POSITIVE,7.1548608,7.41
K00984.01,CONFIRMED,4.28746668,2.29
K00985.01,FALSE POSITIVE,2.002779769,1.42
K00986.01,CONFIRMED,8.18739443,1.92
K00986.02,CONFIRMED,76.0498163,1.75
K00139.02,CONFIRMED,3.341799486,1.67
K01054.01,FALSE POSITIVE,3.3226948,15.33
K01055.01,FALSE POSITIVE,36.97708808,38.6
K01056.01,FALSE POSITIVE,1.851409163,20.42
K01057.01,FALSE POSITIVE,1.303859704,0.98
K00147.01,FALSE POSITIVE,145.5624926,40.15
K01116.01,CONFIRMED,3.749105745,1.68
K01117.01,CONFIRMED,11.08956602,3.51
K01118.01,CANDIDATE,7.37290344,2.67
K01119.01,FALSE POSITIVE,7.24476126,0.65
K01193.01,CANDIDATE,119.0624882,10.4
K01194.01,CONFIRMED,8.70798309,2.01
K01194.02,CANDIDATE,14.8623076,1.57
K01194.03,CONFIRMED,4.17634276,1.23
K00152.02,CONFIRMED,27.40229859,3.63
K00987.01,CONFIRMED,3.179267286,1.21
K00988.01,CONFIRMED,10.38122447,2.18
K00988.02,CONFIRMED,24.5709023,2.82
K00989.01,FALSE POSITIVE,81.221876,16.59
K00989.02,FALSE POSITIVE,0.817026268,2.92
K00135.01,CONFIRMED,3.024092505,12.14
K01058.01,FALSE POSITIVE,5.670155713,5.85
K01059.01,CONFIRMED,1.022678654,1.14
K01060.01,CONFIRMED,12.10968709,2.98
K01060.02,CONFIRMED,4.75796103,1.7
K01060.03,CONFIRMED,20.4972755,2.96
K01119.02,FALSE POSITIVE,13.55480534,0.62
K01120.01,FALSE POSITIVE,29.74454668,20.06
K01121.01,FALSE POSITIVE,14.15402428,53.25
K01122.01,FALSE POSITIVE,0.844786082,35.27
K01123.01,FALSE POSITIVE,0.848483947,32.11
K01124.01,FALSE POSITIVE,11.99097576,37.47
K01199.01,CONFIRMED,53.5292702,2.28
K01200.01,FALSE POSITIVE,0.393726813,24.17
K01201.01,CONFIRMED,2.757584622,1.01
K01202.01,CONFIRMED,0.928310036,1.16
K00152.03,CONFIRMED,13.48457668,3.39
K01203.01,CONFIRMED,31.8841473,3.7
K00989.03,CANDIDATE,16.15811112,86.13
K00990.01,FALSE POSITIVE,67.69213907,175.98
K00991.01,CONFIRMED,12.06222962,1.62
K00992.01,CONFIRMED,9.93146307,2.41
K00993.01,CONFIRMED,21.85362905,1.75
K01060.04,CONFIRMED,8.19345065,1.74
K00140.01,FALSE POSITIVE,19.97867,6.85
K01061.01,CONFIRMED,41.8059544,2.02
K01062.01,FALSE POSITIVE,15.45158184,2.02
K01063.01,FALSE POSITIVE,89.698168533,102.08
K01064.01,FALSE POSITIVE,1.187352427,67.35
K00015.01,FALSE POSITIVE,3.012476582,65.25
K00148.01,CONFIRMED,4.77800306,1.85
K01125.01,FALSE POSITIVE,7.814839231,5.33
K01126.01,FALSE POSITIVE,29.7452499,3.6
K01127.01,CONFIRMED,5.32667299,2.26
K01187.01,FALSE POSITIVE,0.741057213,26.67
K01188.01,FALSE POSITIVE,2.988085455,21.81
K01189.01,FALSE POSITIVE,2.783883492,67.17
K01190.01,FALSE POSITIVE,0.393727296,23.05
K01191.01,CONFIRMED,8.17242644,3.29
K01192.01,CANDIDATE,1295.362215,57.82
K00993.02,CONFIRMED,13.0607936,1.45
K00994.01,CANDIDATE,4.2989201,2.12
K00995.01,FALSE POSITIVE,25.9518461,22.32
K00996.01,FALSE POSITIVE,25.9518536,24.6
K00997.01,FALSE POSITIVE,5.68628739,4.5
