lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 5.34e-86 2.60e-91 7.84e-89 4.04e-262 7.90e-265 2.38e-262 8.77e-91 1.81e-95 5.45e-93 1.97e-04 3.24e-07 9.76e-05 3.56e-22 4.26e-25 1.28e-22 7.23e-01 3.32e-03 1.00e+00 0.00173 0.089 9.76e-05
0.00e+00 0.00e+00 0.00e+00 1.17e-86 4.60e-92 1.34e-89 1.94e-269 3.83e-272 1.11e-269 2.80e-94 6.21e-99 1.80e-96 4.98e-04 8.14e-07 2.37e-04 1.38e-22 1.65e-25 4.81e-23 7.50e-01 3.44e-03 1.00e+00 0.0042 0.089 2.37e-04
0.00e+00 0.00e+00 0.00e+00 8.53e-93 4.64e-98 1.40e-95 2.44e-257 4.95e-260 1.49e-257 9.12e-101 3.21e-105 9.67e-103 3.55e-04 5.70e-07 1.72e-04 7.76e-22 9.50e-25 2.87e-22 7.23e-01 3.32e-03 1.00e+00 0.00305 0.089 1.72e-04
0.00e+00 0.00e+00 0.00e+00 2.47e-91 1.35e-96 4.01e-94 7.17e-265 1.43e-267 4.27e-265 9.48e-96 1.88e-100 5.61e-98 1.79e-04 2.91e-07 8.67e-05 8.36e-23 1.01e-25 2.99e-23 7.32e-01 3.36e-03 1.00e+00 0.00154 0.089 8.67e-05
0.00e+00 0.00e+00 0.00e+00 1.31e-86 5.67e-92 1.68e-89 4.26e-260 8.13e-263 2.41e-260 9.51e-96 2.91e-100 8.62e-98 7.41e-04 1.20e-06 3.54e-04 5.92e-22 7.20e-25 2.13e-22 7.35e-01 3.37e-03 1.00e+00 0.00629 0.089 3.54e-04
0.00e+00 0.00e+00 0.00e+00 2.66e-95 1.30e-100 3.93e-98 4.69e-290 9.14e-293 2.77e-290 2.27e-98 7.11e-103 2.15e-100 6.61e-04 1.07e-06 3.23e-04 1.14e-28 1.40e-31 4.25e-29 7.20e-01 3.30e-03 1.00e+00 0.00573 0.089 3.23e-04
0.00e+00 0.00e+00 0.00e+00 6.18e-94 3.48e-99 1.04e-96 1.35e-265 2.64e-268 7.91e-266 3.18e-111 9.73e-116 2.92e-113 4.27e-04 7.13e-07 2.14e-04 1.18e-21 1.44e-24 4.30e-22 7.26e-01 3.33e-03 1.00e+00 0.0038 0.089 2.14e-04
0.00e+00 0.00e+00 0.00e+00 1.34e-93 7.52e-99 2.33e-96 1.20e-263 2.37e-266 7.37e-264 1.44e-96 3.96e-101 1.23e-98 5.86e-04 9.71e-07 3.01e-04 8.38e-22 9.99e-25 3.10e-22 7.02e-01 3.22e-03 1.00e+00 0.00535 0.089 3.01e-04
0.00e+00 0.00e+00 0.00e+00 6.21e-93 3.38e-98 1.01e-95 2.88e-265 5.75e-268 1.72e-265 6.10e-100 1.91e-104 5.72e-102 3.50e-04 5.71e-07 1.71e-04 5.13e-27 6.15e-30 1.84e-27 7.27e-01 3.34e-03 1.00e+00 0.00304 0.089 1.71e-04
0.00e+00 0.00e+00 0.00e+00 4.47e-89 2.27e-94 6.69e-92 6.50e-272 1.28e-274 3.78e-272 2.38e-89 5.45e-94 1.61e-91 1.54e-04 2.49e-07 7.34e-05 2.58e-21 3.04e-24 8.96e-22 7.38e-01 3.39e-03 1.00e+00 0.0013 0.089 7.34e-05
